Year,Sex,Age Group,Aboriginal status,Region,Population
1989,Female,40-,Non-Aboriginal,Greater Darwin,3179
1989,Female,45-,Non-Aboriginal,Greater Darwin,1961
1989,Female,50-,Non-Aboriginal,Greater Darwin,1250
1989,Female,55-,Non-Aboriginal,Greater Darwin,856
1989,Female,60-,Non-Aboriginal,Greater Darwin,630
1989,Female,65-,Non-Aboriginal,Greater Darwin,462
1989,Female,70-,Non-Aboriginal,Greater Darwin,301
1989,Female,75-,Non-Aboriginal,Greater Darwin,195
1989,Female,80-,Non-Aboriginal,Greater Darwin,79
1989,Female,85+,Non-Aboriginal,Greater Darwin,85
1990,Male,0-,Aboriginal,Greater Darwin,512
1990,Male,5-,Aboriginal,Greater Darwin,482
1990,Male,10-,Aboriginal,Greater Darwin,551
1990,Male,15-,Aboriginal,Greater Darwin,453
1990,Male,20-,Aboriginal,Greater Darwin,319
1990,Male,25-,Aboriginal,Greater Darwin,353
1990,Male,30-,Aboriginal,Greater Darwin,267
1990,Male,35-,Aboriginal,Greater Darwin,242
1990,Male,40-,Aboriginal,Greater Darwin,214
1990,Male,45-,Aboriginal,Greater Darwin,134
1990,Male,50-,Aboriginal,Greater Darwin,60
1990,Male,55-,Aboriginal,Greater Darwin,36
1990,Male,60-,Aboriginal,Greater Darwin,33
1990,Male,65-,Aboriginal,Greater Darwin,16
1990,Male,70-,Aboriginal,Greater Darwin,12
1990,Male,75-,Aboriginal,Greater Darwin,4
1990,Male,80-,Aboriginal,Greater Darwin,2
1990,Male,85+,Aboriginal,Greater Darwin,1
1990,Male,0-,Non-Aboriginal,Greater Darwin,3563
1990,Male,5-,Non-Aboriginal,Greater Darwin,3256
1990,Male,10-,Non-Aboriginal,Greater Darwin,3227
1990,Male,15-,Non-Aboriginal,Greater Darwin,3244
1990,Male,20-,Non-Aboriginal,Greater Darwin,3889
1990,Male,25-,Non-Aboriginal,Greater Darwin,4418
1990,Male,30-,Non-Aboriginal,Greater Darwin,4138
1990,Male,35-,Non-Aboriginal,Greater Darwin,4028
1990,Male,40-,Non-Aboriginal,Greater Darwin,3893
1990,Male,45-,Non-Aboriginal,Greater Darwin,2781
1990,Male,50-,Non-Aboriginal,Greater Darwin,1915
1990,Male,55-,Non-Aboriginal,Greater Darwin,1178
1990,Male,60-,Non-Aboriginal,Greater Darwin,892
1990,Male,65-,Non-Aboriginal,Greater Darwin,503
1990,Male,70-,Non-Aboriginal,Greater Darwin,305
1990,Male,75-,Non-Aboriginal,Greater Darwin,165
1990,Male,80-,Non-Aboriginal,Greater Darwin,83
1990,Male,85+,Non-Aboriginal,Greater Darwin,30
1990,Female,0-,Aboriginal,Greater Darwin,465
1990,Female,5-,Aboriginal,Greater Darwin,415
1990,Female,10-,Aboriginal,Greater Darwin,467
1990,Female,15-,Aboriginal,Greater Darwin,431
1990,Female,20-,Aboriginal,Greater Darwin,370
1990,Female,25-,Aboriginal,Greater Darwin,301
1990,Female,30-,Aboriginal,Greater Darwin,314
1990,Female,35-,Aboriginal,Greater Darwin,256
1990,Female,40-,Aboriginal,Greater Darwin,192
1990,Female,45-,Aboriginal,Greater Darwin,123
1990,Female,50-,Aboriginal,Greater Darwin,67
1990,Female,55-,Aboriginal,Greater Darwin,39
1990,Female,60-,Aboriginal,Greater Darwin,35
1990,Female,65-,Aboriginal,Greater Darwin,30
1990,Female,70-,Aboriginal,Greater Darwin,21
1990,Female,75-,Aboriginal,Greater Darwin,14
1990,Female,80-,Aboriginal,Greater Darwin,6
1990,Female,85+,Aboriginal,Greater Darwin,2
1990,Female,0-,Non-Aboriginal,Greater Darwin,3383
1990,Female,5-,Non-Aboriginal,Greater Darwin,3208
1990,Female,10-,Non-Aboriginal,Greater Darwin,2978
1990,Female,15-,Non-Aboriginal,Greater Darwin,3248
1990,Female,20-,Non-Aboriginal,Greater Darwin,3766
1990,Female,25-,Non-Aboriginal,Greater Darwin,4263
1990,Female,30-,Non-Aboriginal,Greater Darwin,4063
1990,Female,35-,Non-Aboriginal,Greater Darwin,3690
1990,Female,40-,Non-Aboriginal,Greater Darwin,3250
1990,Female,45-,Non-Aboriginal,Greater Darwin,2078
1990,Female,50-,Non-Aboriginal,Greater Darwin,1314
1990,Female,55-,Non-Aboriginal,Greater Darwin,856
1990,Female,60-,Non-Aboriginal,Greater Darwin,612
1990,Female,65-,Non-Aboriginal,Greater Darwin,452
1990,Female,70-,Non-Aboriginal,Greater Darwin,318
1990,Female,75-,Non-Aboriginal,Greater Darwin,188
1990,Female,80-,Non-Aboriginal,Greater Darwin,87
1990,Female,85+,Non-Aboriginal,Greater Darwin,90
1991,Male,0-,Aboriginal,Greater Darwin,532
1991,Male,5-,Aboriginal,Greater Darwin,505
1991,Male,10-,Aboriginal,Greater Darwin,569
1991,Male,15-,Aboriginal,Greater Darwin,460
1991,Male,20-,Aboriginal,Greater Darwin,343
1991,Male,25-,Aboriginal,Greater Darwin,365
1991,Male,30-,Aboriginal,Greater Darwin,307
1991,Male,35-,Aboriginal,Greater Darwin,262
1991,Male,40-,Aboriginal,Greater Darwin,236
1991,Male,45-,Aboriginal,Greater Darwin,140
1991,Male,50-,Aboriginal,Greater Darwin,65
1991,Male,55-,Aboriginal,Greater Darwin,39
1991,Male,60-,Aboriginal,Greater Darwin,34
1991,Male,65-,Aboriginal,Greater Darwin,18
1991,Male,70-,Aboriginal,Greater Darwin,13
1991,Male,75-,Aboriginal,Greater Darwin,5
1991,Male,80-,Aboriginal,Greater Darwin,2
1991,Male,85+,Aboriginal,Greater Darwin,1
1991,Male,0-,Non-Aboriginal,Greater Darwin,3441
1991,Male,5-,Non-Aboriginal,Greater Darwin,3206
1991,Male,10-,Non-Aboriginal,Greater Darwin,3166
1991,Male,15-,Non-Aboriginal,Greater Darwin,3142
1991,Male,20-,Non-Aboriginal,Greater Darwin,3859
1991,Male,25-,Non-Aboriginal,Greater Darwin,4169
1991,Male,30-,Non-Aboriginal,Greater Darwin,4198
1991,Male,35-,Non-Aboriginal,Greater Darwin,3951
1991,Male,40-,Non-Aboriginal,Greater Darwin,3962
1991,Male,45-,Non-Aboriginal,Greater Darwin,2846
1991,Male,50-,Non-Aboriginal,Greater Darwin,2025
1991,Male,55-,Non-Aboriginal,Greater Darwin,1227
1991,Male,60-,Non-Aboriginal,Greater Darwin,879
1991,Male,65-,Non-Aboriginal,Greater Darwin,509
1991,Male,70-,Non-Aboriginal,Greater Darwin,291
1991,Male,75-,Non-Aboriginal,Greater Darwin,166
1991,Male,80-,Non-Aboriginal,Greater Darwin,88
1991,Male,85+,Non-Aboriginal,Greater Darwin,32
1991,Female,0-,Aboriginal,Greater Darwin,480
1991,Female,5-,Aboriginal,Greater Darwin,435
1991,Female,10-,Aboriginal,Greater Darwin,487
1991,Female,15-,Aboriginal,Greater Darwin,428
1991,Female,20-,Aboriginal,Greater Darwin,405
1991,Female,25-,Aboriginal,Greater Darwin,311
1991,Female,30-,Aboriginal,Greater Darwin,344
1991,Female,35-,Aboriginal,Greater Darwin,267
1991,Female,40-,Aboriginal,Greater Darwin,209
1991,Female,45-,Aboriginal,Greater Darwin,134
1991,Female,50-,Aboriginal,Greater Darwin,74
1991,Female,55-,Aboriginal,Greater Darwin,43
